# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
265  -88.694   60.887    5.31   2   1    -0.37     0.93    0.020    83.11
266  -90.198   60.180    5.33   2   1    -0.48     0.88    0.020    83.11
267  -91.600   59.289    5.35   2   1    -0.59     0.81    0.020    83.11
268  -92.880   58.231    5.37   2   1    -0.68     0.73    0.020    83.11
269  -94.017   57.020    5.39   2   1    -0.77     0.64    0.020    83.11
270  -94.994   55.676    5.41   2   1    -0.84     0.54    0.020    83.11
271  -95.794   54.220    5.43   2   1    -0.90     0.43    0.020    83.11
272  -96.406   52.675    5.45   2   1    -0.95     0.31    0.020    83.11
273  -96.819   51.066    5.47   2   1    -0.98     0.19    0.020    83.11
274  -97.027   49.418    5.49   2   1    -1.00     0.06    0.020    83.11
275  -97.027   47.757    5.51   2   1    -1.00    -0.06    0.020    83.11
276  -96.819   46.109    5.53   2   1    -0.98    -0.19    0.020    83.11
277  -96.406   44.500    5.55   2   1    -0.95    -0.31    0.020    83.11
278  -95.794   42.955    5.57   2   1    -0.90    -0.43    0.020    83.11
279  -94.994   41.500    5.59   2   1    -0.84    -0.54    0.020    83.11
280  -94.017   40.156    5.61   2   1    -0.77    -0.64    0.020    83.11
281  -92.880   38.945    5.63   2   1    -0.68    -0.73    0.020    83.11
282  -91.600   37.886    5.65   2   1    -0.59    -0.81    0.020    83.11
283  -90.198   36.996    5.67   2   1    -0.48    -0.88    0.020    83.11
284  -88.694   36.289    5.69   2   1    -0.37    -0.93    0.020    83.11
285  -87.115   35.775    5.71   2   1    -0.25    -0.97    0.020    83.11
286  -85.483   35.464    5.73   2   1    -0.13    -0.99    0.020    83.11
287  -83.825   35.360    5.75   2   1    -0.00    -1.00    0.020    83.11
288  -82.167   35.464    5.77   2   1     0.13    -0.99    0.020    83.11
289  -80.535   35.775    5.79   2   1     0.25    -0.97    0.020    83.11
290  -78.955   36.289    5.81   2   1     0.37    -0.93    0.020    83.11
291  -77.452   36.996    5.83   2   1     0.48    -0.88    0.020    83.11
292  -76.050   37.886    5.85   2   1     0.59    -0.81    0.020    83.11
293  -74.770   38.945    5.87   2   1     0.68    -0.73    0.020    83.11
294  -73.632   40.156    5.89   2   1     0.77    -0.64    0.020    83.11
295  -72.656   41.500    5.91   2   1     0.84    -0.54    0.020    83.11
296  -71.856   42.955    5.93   2   1     0.90    -0.43    0.020    83.11
297  -71.244   44.500    5.95   2   1     0.95    -0.31    0.020    83.11
298  -70.831   46.109    5.97   2   1     0.98    -0.19    0.020    83.11
299  -70.623   47.757    5.99   2   1     1.00    -0.06    0.020    83.11
300  -12.718   98.006    6.01   2   1     1.00     0.06    0.020    83.11
301  -12.927   99.654    6.03   2   1     0.98     0.19    0.020    83.11
302  -13.340  101.263    6.05   2   1     0.95     0.31    0.020    83.11
303  -13.951  102.808    6.07   2   1     0.90     0.43    0.020    83.11
304  -14.751  104.263    6.09   2   1     0.84     0.54    0.020    83.11
305  -15.728  105.607    6.11   2   1     0.77     0.64    0.020    83.11
306  -16.865  106.818    6.13   2   1     0.68     0.73    0.020    83.11
307  -18.145  107.877    6.15   2   1     0.59     0.81    0.020    83.11
308  -19.548  108.767    6.17   2   1     0.48     0.88    0.020    83.11
309  -21.051  109.475    6.19   2   1     0.37     0.93    0.020    83.11
310  -22.631  109.988    6.21   2   1     0.25     0.97    0.020    83.11
311  -24.262  110.299    6.23   2   1     0.13     0.99    0.020    83.11
312  -25.920  110.403    6.25   2   1     0.00     1.00    0.020    83.11
313  -27.578  110.299    6.27   2   1    -0.13     0.99    0.020    83.11
314  -29.210  109.988    6.29   2   1    -0.25     0.97    0.020    83.11
315  -30.790  109.475    6.31   2   1    -0.37     0.93    0.020    83.11
316  -32.293  108.767    6.33   2   1    -0.48     0.88    0.020    83.11
317  -33.696  107.877    6.35   2   1    -0.59     0.81    0.020    83.11
318  -34.976  106.818    6.37   2   1    -0.68     0.73    0.020    83.11
319  -36.113  105.607    6.39   2   1    -0.77     0.64    0.020    83.11
320  -37.089  104.263    6.41   2   1    -0.84     0.54    0.020    83.11
321  -37.889  102.808    6.43   2   1    -0.90     0.43    0.020    83.11
322  -38.501  101.263    6.45   2   1    -0.95     0.31    0.020    83.11
323  -38.914   99.654    6.47   2   1    -0.98     0.19    0.020    83.11
324  -39.122   98.006    6.49   2   1    -1.00     0.06    0.020    83.11
325  -39.122   96.345    6.51   2   1    -1.00    -0.06    0.020    83.11
326  -38.914   94.697    6.53   2   1    -0.98    -0.19    0.020    83.11
327  -38.501   93.088    6.55   2   1    -0.95    -0.31    0.020    83.11
328  -37.889   91.543    6.57   2   1    -0.90    -0.43    0.020    83.11
329  -37.089   90.087    6.59   2   1    -0.84    -0.54    0.020    83.11
330  -36.113   88.744    6.61   2   1    -0.77    -0.64    0.020    83.11
331  -34.976   87.533    6.63   2   1    -0.68    -0.73    0.020    83.11
332  -33.696   86.474    6.65   2   1    -0.59    -0.81    0.020    83.11
333  -32.293   85.584    6.67   2   1    -0.48    -0.88    0.020    83.11
334  -30.790   84.876    6.69   2   1    -0.37    -0.93    0.020    83.11
335  -29.210   84.363    6.71   2   1    -0.25    -0.97    0.020    83.11
336  -27.578   84.052    6.73   2   1    -0.13    -0.99    0.020    83.11
337  -25.920   83.947    6.75   2   1    -0.00    -1.00    0.020    83.11
338  -24.262   84.052    6.77   2   1     0.13    -0.99    0.020    83.11
339  -22.631   84.363    6.79   2   1     0.25    -0.97    0.020    83.11
340  -21.051   84.876    6.81   2   1     0.37    -0.93    0.020    83.11
341  -19.548   85.584    6.83   2   1     0.48    -0.88    0.020    83.11
