# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
323   -5.697   -7.538    0.65   2   1    -0.60    -0.80    0.002    59.37
324   -5.602   -7.609    0.65   2   1    -0.59    -0.81    0.002    59.37
325   -5.506   -7.679    0.65   2   1    -0.58    -0.81    0.002    59.37
326   -5.409   -7.747    0.65   2   1    -0.57    -0.82    0.002    59.37
327   -5.311   -7.815    0.66   2   1    -0.56    -0.83    0.002    59.37
328   -5.212   -7.881    0.66   2   1    -0.55    -0.83    0.002    59.37
329   -5.113   -7.946    0.66   2   1    -0.54    -0.84    0.002    59.37
330   -5.013   -8.009    0.66   2   1    -0.53    -0.85    0.002    59.37
331   -4.912   -8.072    0.66   2   1    -0.52    -0.85    0.002    59.37
332   -4.810   -8.133    0.67   2   1    -0.51    -0.86    0.002    59.37
333   -4.707   -8.193    0.67   2   1    -0.50    -0.87    0.002    59.37
334   -4.604   -8.251    0.67   2   1    -0.49    -0.87    0.002    59.37
335   -4.500   -8.308    0.67   2   1    -0.48    -0.88    0.002    59.37
336   -4.395   -8.364    0.67   2   1    -0.47    -0.89    0.002    59.37
337   -4.290   -8.419    0.68   2   1    -0.45    -0.89    0.002    59.37
338   -4.183   -8.472    0.68   2   1    -0.44    -0.90    0.002    59.37
339   -4.077   -8.524    0.68   2   1    -0.43    -0.90    0.002    59.37
340   -3.969   -8.574    0.68   2   1    -0.42    -0.91    0.002    59.37
341   -3.861   -8.624    0.68   2   1    -0.41    -0.91    0.002    59.37
342   -3.753   -8.672    0.69   2   1    -0.40    -0.92    0.002    59.37
343   -3.643   -8.718    0.69   2   1    -0.39    -0.92    0.002    59.37
344   -3.533   -8.763    0.69   2   1    -0.37    -0.93    0.002    59.37
345   -3.423   -8.807    0.69   2   1    -0.36    -0.93    0.002    59.37
346   -3.312   -8.849    0.69   2   1    -0.35    -0.94    0.002    59.37
347   -3.201   -8.890    0.69   2   1    -0.34    -0.94    0.002    59.37
348   -3.089   -8.930    0.70   2   1    -0.33    -0.95    0.002    59.37
349   -2.976   -8.968    0.70   2   1    -0.31    -0.95    0.002    59.37
350   -2.863   -9.004    0.70   2   1    -0.30    -0.95    0.002    59.37
351   -2.750   -9.040    0.70   2   1    -0.29    -0.96    0.002    59.37
352   -2.636   -9.073    0.70   2   1    -0.28    -0.96    0.002    59.37
353   -2.522   -9.106    0.71   2   1    -0.27    -0.96    0.002    59.37
354   -2.407   -9.137    0.71   2   1    -0.25    -0.97    0.002    59.37
355   -2.292   -9.166    0.71   2   1    -0.24    -0.97    0.002    59.37
356   -2.177   -9.194    0.71   2   1    -0.23    -0.97    0.002    59.37
357   -2.061   -9.221    0.71   2   1    -0.22    -0.98    0.002    59.37
358   -1.945   -9.246    0.72   2   1    -0.21    -0.98    0.002    59.37
359   -1.829   -9.270    0.72   2   1    -0.19    -0.98    0.002    59.37
360   -1.712   -9.292    0.72   2   1    -0.18    -0.98    0.002    59.37
361   -1.595   -9.313    0.72   2   1    -0.17    -0.99    0.002    59.37
362   -1.478   -9.332    0.72   2   1    -0.16    -0.99    0.002    59.37
363   -1.361   -9.350    0.73   2   1    -0.14    -0.99    0.002    59.37
364   -1.243   -9.366    0.73   2   1    -0.13    -0.99    0.002    59.37
365   -1.125   -9.381    0.73   2   1    -0.12    -0.99    0.002    59.37
