# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
260   -9.366   -1.616    0.52   2   1    -0.99    -0.10    0.002    76.90
261   -9.350   -1.769    0.52   2   1    -0.99    -0.11    0.002    76.85
262   -9.332   -1.922    0.53   2   1    -0.99    -0.12    0.002    76.79
263   -9.313   -2.074    0.53   2   1    -0.99    -0.13    0.002    76.73
264   -9.292   -2.226    0.53   2   1    -0.99    -0.14    0.002    76.66
265   -9.270   -2.377    0.53   2   1    -0.99    -0.15    0.002    76.59
266   -9.246   -2.529    0.53   2   1    -0.99    -0.16    0.002    76.51
267   -9.221   -2.680    0.54   2   1    -0.99    -0.17    0.002    76.42
268   -9.194   -2.830    0.54   2   1    -0.98    -0.18    0.002    76.34
269   -9.166   -2.980    0.54   2   1    -0.98    -0.19    0.002    76.24
270   -9.137   -3.129    0.54   2   1    -0.98    -0.20    0.002    76.15
271   -9.106   -3.278    0.54   2   1    -0.98    -0.21    0.002    76.05
272   -9.073   -3.427    0.55   2   1    -0.98    -0.22    0.002    75.94
273   -9.040   -3.575    0.55   2   1    -0.97    -0.23    0.002    75.83
274   -9.004   -3.722    0.55   2   1    -0.97    -0.24    0.002    75.72
275   -8.968   -3.869    0.55   2   1    -0.97    -0.25    0.002    75.60
276   -8.930   -4.015    0.55   2   1    -0.97    -0.26    0.002    75.48
277   -8.890   -4.161    0.56   2   1    -0.96    -0.27    0.002    75.35
278   -8.849   -4.306    0.56   2   1    -0.96    -0.28    0.002    75.22
279   -8.807   -4.450    0.56   2   1    -0.96    -0.29    0.002    75.08
280   -8.763   -4.593    0.56   2   1    -0.96    -0.30    0.002    74.94
281   -8.718   -4.736    0.56   2   1    -0.95    -0.31    0.002    74.80
282   -8.672   -4.878    0.56   2   1    -0.95    -0.32    0.002    74.65
283   -8.624   -5.020    0.57   2   1    -0.95    -0.33    0.002    74.50
284   -8.574   -5.160    0.57   2   1    -0.94    -0.34    0.002    74.35
285   -8.524   -5.300    0.57   2   1    -0.94    -0.35    0.002    74.19
286   -8.472   -5.438    0.57   2   1    -0.93    -0.36    0.002    74.02
287   -8.419   -5.576    0.57   2   1    -0.93    -0.36    0.002    73.86
288   -8.364   -5.714    0.58   2   1    -0.93    -0.37    0.002    73.69
289   -8.308   -5.850    0.58   2   1    -0.92    -0.38    0.002    73.52
290   -8.251   -5.985    0.58   2   1    -0.92    -0.39    0.002    73.34
291   -8.193   -6.119    0.58   2   1    -0.91    -0.40    0.002    73.16
292   -8.133   -6.253    0.58   2   1    -0.91    -0.41    0.002    72.98
293   -8.072   -6.385    0.59   2   1    -0.91    -0.42    0.002    72.80
294   -8.009   -6.516    0.59   2   1    -0.90    -0.43    0.002    72.61
295   -7.946   -6.647    0.59   2   1    -0.90    -0.44    0.002    72.42
296   -7.881   -6.776    0.59   2   1    -0.89    -0.45    0.002    72.22
297   -7.815   -6.904    0.59   2   1    -0.89    -0.46    0.002    72.03
298   -7.747   -7.031    0.60   2   1    -0.88    -0.47    0.002    71.83
299   -7.679   -7.157    0.60   2   1    -0.88    -0.48    0.002    71.63
