# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
277  -97.618   45.009    5.55   2   1    -0.95    -0.31    0.020    83.11
278  -97.007   43.464    5.57   2   1    -0.90    -0.43    0.020    83.11
279  -96.207   42.009    5.59   2   1    -0.84    -0.54    0.020    83.11
280  -95.230   40.665    5.61   2   1    -0.77    -0.64    0.020    83.11
281  -94.093   39.454    5.63   2   1    -0.68    -0.73    0.020    83.11
282  -92.813   38.395    5.65   2   1    -0.59    -0.81    0.020    83.11
283  -91.410   37.505    5.67   2   1    -0.48    -0.88    0.020    83.11
284  -89.907   36.797    5.69   2   1    -0.37    -0.93    0.020    83.11
285  -88.327   36.284    5.71   2   1    -0.25    -0.97    0.020    83.11
286  -86.696   35.973    5.73   2   1    -0.13    -0.99    0.020    83.11
287  -85.038   35.868    5.75   2   1    -0.00    -1.00    0.020    83.11
288  -83.380   35.973    5.77   2   1     0.13    -0.99    0.020    83.11
289  -81.748   36.284    5.79   2   1     0.25    -0.97    0.020    83.11
290  -80.168   36.797    5.81   2   1     0.37    -0.93    0.020    83.11
291  -78.665   37.505    5.83   2   1     0.48    -0.88    0.020    83.11
292  -77.262   38.395    5.85   2   1     0.59    -0.81    0.020    83.11
293  -75.982   39.454    5.87   2   1     0.68    -0.73    0.020    83.11
294  -74.845   40.665    5.89   2   1     0.77    -0.64    0.020    83.11
295  -73.869   42.009    5.91   2   1     0.84    -0.54    0.020    83.11
296  -73.069   43.464    5.93   2   1     0.90    -0.43    0.020    83.11
297  -72.457   45.009    5.95   2   1     0.95    -0.31    0.020    83.11
298  -72.044   46.618    5.97   2   1     0.98    -0.19    0.020    83.11
299  -71.836   48.266    5.99   2   1     1.00    -0.06    0.020    83.11
300  -43.490   99.024    6.01   2   1     1.00     0.06    0.020    83.11
301  -43.698  100.672    6.03   2   1     0.98     0.19    0.020    83.11
302  -44.111  102.281    6.05   2   1     0.95     0.31    0.020    83.11
303  -44.723  103.825    6.07   2   1     0.90     0.43    0.020    83.11
304  -45.523  105.281    6.09   2   1     0.84     0.54    0.020    83.11
305  -46.499  106.625    6.11   2   1     0.77     0.64    0.020    83.11
306  -47.637  107.836    6.13   2   1     0.68     0.73    0.020    83.11
307  -48.917  108.895    6.15   2   1     0.59     0.81    0.020    83.11
308  -50.319  109.785    6.17   2   1     0.48     0.88    0.020    83.11
309  -51.822  110.492    6.19   2   1     0.37     0.93    0.020    83.11
310  -53.402  111.006    6.21   2   1     0.25     0.97    0.020    83.11
311  -55.034  111.317    6.23   2   1     0.13     0.99    0.020    83.11
312  -56.692  111.421    6.25   2   1     0.00     1.00    0.020    83.11
313  -58.350  111.317    6.27   2   1    -0.13     0.99    0.020    83.11
314  -59.981  111.006    6.29   2   1    -0.25     0.97    0.020    83.11
315  -61.561  110.492    6.31   2   1    -0.37     0.93    0.020    83.11
316  -63.064  109.785    6.33   2   1    -0.48     0.88    0.020    83.11
